experiment,model,real_ratio,augmentation_mode,augmentation_add_ratio,preprocessing,seed,training_mode,requested_epochs,actual_epochs_ran,best_epoch,full_train_size,selected_real_train_size,synthetic_train_size,effective_train_size,val_size,test_size,augmentation_config,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,no_aug_test_macro_f1,no_aug_test_accuracy,augmentation_gain_macro_f1,augmentation_gain_accuracy,augmentation_relative_gain_macro_f1,augmentation_relative_gain_accuracy,checkpoint_path,selected_by,source
augmentation_ratio_ablation,ResNet18,0.5,offline_append,0.5,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,62,47,3977,1987,992,2979,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.9818548387096774,0.9783557197332299,0.966,0.9486461142481594,0.9361224741297042,0.96,0.012523640118455193,0.006000000000000005,0.013378206874157347,0.0062500000000000056,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p5_add0p5_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,ResNet18,0.5,offline_append,1.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,60,45,3977,1987,1987,3974,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.9657258064516128,0.9510974840326104,0.96,0.9398387358765772,0.9361224741297042,0.96,0.0037162617468730064,0.0,0.0039698456661111,0.0,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_full_resnet18_0p5_best.pt,validation_macro_f1,reused_final_f5
augmentation_ratio_ablation,ResNet18,0.5,offline_append,2.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,22,7,3977,1987,3974,5961,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.29435483870967744,0.06497552291944815,0.294,0.06491499227202473,0.9361224741297042,0.96,-0.8712074818576795,-0.6659999999999999,-0.9306554494032686,-0.69375,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p5_add2p0_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,ResNet18,0.25,offline_append,0.5,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,66,51,3977,992,494,1486,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.9495967741935484,0.9378177586982099,0.912,0.8756762914682203,0.9008190484698856,0.94,-0.02514275700166524,-0.027999999999999914,-0.02791099615885372,-0.029787234042553103,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p25_add0p5_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,ResNet18,0.25,offline_append,1.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,64,49,3977,992,992,1984,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.9274193548387096,0.9130649308121096,0.904,0.8664321937485415,0.9008190484698856,0.94,-0.03438685472134406,-0.03599999999999992,-0.038172876983177624,-0.03829787234042545,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_full_resnet18_0p25_best.pt,validation_macro_f1,reused_final_f5
augmentation_ratio_ablation,ResNet18,0.25,offline_append,2.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,56,41,3977,992,1984,2976,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.9314516129032258,0.9126905603334204,0.91,0.8836436854233547,0.9008190484698856,0.94,-0.01717536304653089,-0.029999999999999916,-0.019066385280933656,-0.03191489361702119,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p25_add2p0_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,ResNet18,0.1,offline_append,0.5,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,100,91,3977,395,196,591,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.8870967741935484,0.8600274748674349,0.862,0.8131649966464726,0.7543449345044978,0.816,0.05882006214197477,0.04600000000000004,0.07797502104340578,0.0563725490196079,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p1_add0p5_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,ResNet18,0.1,offline_append,1.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,69,54,3977,395,395,790,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.8266129032258065,0.7980348122609514,0.818,0.7567223542323535,0.7543449345044978,0.816,0.0023774197278556564,0.0020000000000000018,0.003151634774902145,0.002450980392156865,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_full_resnet18_0p1_best.pt,validation_macro_f1,reused_final_f5
augmentation_ratio_ablation,ResNet18,0.1,offline_append,2.0,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,59,44,3977,395,790,1185,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.8629032258064516,0.837336187490135,0.814,0.7541165947116764,0.7543449345044978,0.816,-0.00022833979282144146,-0.0020000000000000018,-0.00030269944474596317,-0.002450980392156865,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_resnet18_0p1_add2p0_best.pt,validation_macro_f1,trained_ablation
augmentation_ratio_ablation,LeNet,0.5,offline_append,0.5,moving_average_smoothing+minmax_scaling,42,controlled_generalization,100,73,58,3977,1987,992,2979,496,500,"{""gaussian_noise_std"": 0.02, ""max_time_shift"": 5, ""scaling_max"": 1.1, ""scaling_min"": 0.9, ""subcarrier_mask_ratio"": 0.1, ""time_mask_ratio"": 0.1, ""use_gaussian_noise"": true, ""use_scaling"": true, ""use_subcarrier_mask"": true, ""use_time_mask"": true, ""use_time_shift"": true}",0.969758064516129,0.9633647314862486,0.95,0.9286682790398638,0.9333253819252564,0.954,-0.004657102885392561,-0.0040000000000000036,-0.004989795601386009,-0.004192872117400423,C:\Users\dhgyd\Desktop\prj\WIFI-CSI-HAR\results\checkpoints\final_augmentation_ablation_full_lenet_0p5_add0p5_best.pt,validation_macro_f1,trained_ablation
